"",,City of Ontario,,
"",,Revenue Department,,
"",,Business License Listing - February 2017,,
Business Name,Business Description,Business Phone Address City,,Business Owner
A1 FINANCIAL USA,Office Administrative Services,"(909) 930-9159 2516 PINECONE WAY ONTARIO, CA 91761",,"AYERS, MARK"
AAA ALUMINUM PATIOS INC,Siding Contractors,"(951) 734-4729 1268 TRENTON AVE CORONA, CA 92880",,"PHILLIPS, TOM"
ADMINSURE INC.,Third Party Administration Of Insurance And Pen (909) 396-5828,"3380 SHELBY ST ONTARIO, CA 91764",,"ANTHONY, ALYCIA (BUSINESS MANAGER)"
AIR CODE A/C AND HEATING,Heating And Air Conditioning Contractor,"(818) 456-8088 11271 VENTURA BLVD STE 131 N HOLLYWOOD, CA 91604",,"BEN-SHOSHON, SHLOMI"
AIR FLOWMECHANICAL INC,"Plumbing, Heating, And Air-Conditioning Contrac(714) 463-4596","5120 E LA PALMA AVE STE 203 ANAHEIM, CA 92807",,"SCHUSTER, JENNIE (PRES)"
ALL SIGNS PLUS,Other Services Related To Advertising,"(951) 733-7769 14266 OAKLEY DR RIVERSIDE, CA 92503",,"MEDINA, ALESANDRO"
ALL-PRO ROOFING INC,Roofing Contractors,"(909) 822-8080 10979 SUMAC CT FONTANA, CA 92337",,"FILLT, THOMAS"
ANGELO PLUMBING INC.,"Plumbing, Heating, And Air-Conditioning Contrac(323) 723-6709","5404 E BEVERLY BLVD LOS ANGELES, CA 90022",,"PEREZ, TOMAS (PRESIDENT)"
ANTHONY VERNOLA,Other Warehousing And Storage,"(909) 262-5249 1716 E FRANCIS ST ONTARIO, CA 91761",,"VERNOLA, ANTHONY"
ARAM CONSTRUCTION,Commercial And Institutional Building Constructi (310) 855-8000,"8500 WILSHIRE BLVD STE 509 BEVERLY HILLS, CA 90211",,"HAMRAN, ARAM"
ARAMEXX GROUP INC,Commercial And Institutional Building Constructi (909) 746-8066,"123 E 9TH ST STE 100D UPLAND, CA 91786",,"SAMOUR, SALIM"
ARIES ELECTRIC,Electrical Contractors,"(909) 770-2786 14859 WEEPING WILLOW LN FONTANA, CA 92337",,"MORALES, CESAR"
AXCON CORPORATION INC,Other Building Equipment Contractors,"(850) 564-1272 152 VERA AVE REDWOOD CITY, CA 94061",,"DAVIS,MARK"
